task,method,metric,mean,std,median,ci_low,ci_high
iid,cv_eta_0.6,cross_1_4,-0.2873339078380014,0.011277986756242675,-0.29254095252573775,-0.2934264129079485,-0.28040820581227516
iid,cv_eta_0.6,cross_2_3,0.13938732938934595,0.03587652816328789,0.14528085551179637,0.11758379409534804,0.15872990332743822
iid,cv_eta_0.6,cross_2_4,-0.03807637276493472,0.030509052668676682,-0.03942987575609358,-0.05594185446145464,-0.020724159441158397
iid,cv_eta_0.6,cross_3_4,-0.12478100998133605,0.05219605103469781,-0.12233832764090524,-0.15688780101352096,-0.09614764367839636
iid,cv_eta_0.6,parity,0.02664985600082843,0.0174993513091788,0.030272293107397263,0.01503106491774925,0.03560494204080197
iid,cv_eta_0.6,narma10,0.4636411955853276,0.021298089746356722,0.4680855194728305,0.45112833654235174,0.4750308108485904
iid,cv_eta_0.8,linear_capacity,1.200093641750883,0.22649530779814173,1.2404166989784313,1.046948282323259,1.2954811141944693
iid,cv_eta_0.8,nonlinear_capacity,0.13802619671579047,0.07164498583504167,0.1374872360114272,0.09764222061298068,0.1794558069434581
iid,cv_eta_0.8,seconds,0.5264947100018617,0.15484208208458733,0.583175450010458,0.43398422174752344,0.614813057755382
iid,cv_eta_0.8,effective_rank,2.7385072417104643,0.35568722790715834,2.7982611503054238,2.531298523318518,2.950006928521939
iid,cv_eta_0.8,linear_1,0.5168859342630487,0.14029394154801705,0.5556721838641243,0.42388064417737764,0.5704153222356336
iid,cv_eta_0.8,quadratic_1,-0.06249145319475813,0.033029771424922284,-0.055628948245361465,-0.08244223974254677,-0.043099686206449404
iid,cv_eta_0.8,linear_2,0.27225051235548337,0.020001421404380607,0.2783555851916265,0.25886266290893245,0.2813289079401304
iid,cv_eta_0.8,quadratic_2,-0.08413719585789255,0.0386163777428891,-0.0913382385161422,-0.10656849265903542,-0.06153422903193657
iid,cv_eta_0.8,linear_3,0.28293379601396407,0.034745287624838896,0.29436412350013136,0.2596720973123647,0.2975589080066166
iid,cv_eta_0.8,quadratic_3,-0.04834346313623369,0.042662910444537155,-0.05687301644719944,-0.07140936640500672,-0.02414447076559881
iid,cv_eta_0.8,linear_4,0.128023399118387,0.04731758570564044,0.12450067650057234,0.09943564195370078,0.1543983009418445
iid,cv_eta_0.8,quadratic_4,-0.007998625671169213,0.048117498861012166,0.001145404531837313,-0.03699552893918458,0.018616903270223122
iid,cv_eta_0.8,cross_1_2,-0.05611785297242065,0.08408983017217872,-0.045735239698581065,-0.10585083000267591,-0.00864472535837726
iid,cv_eta_0.8,cross_1_3,-0.011712054515700964,0.05453296168478226,-0.00231260384086851,-0.04340242001537379,0.01962163936151555
iid,cv_eta_0.8,cross_1_4,-0.3798324557478271,0.10953599789025913,-0.4056127636039196,-0.44065423634410955,-0.31643395948818726
iid,cv_eta_0.8,cross_2_3,0.09003379679212163,0.03830814494559059,0.09118999403997474,0.06690404000933257,0.11041828583186934
iid,cv_eta_0.8,cross_2_4,-0.060849134157951054,0.06968219341930701,-0.06644309045140528,-0.101424536834742,-0.020903240404529344
iid,cv_eta_0.8,cross_3_4,-0.13756847568104796,0.09538612613206145,-0.14200088750057882,-0.19555863455560268,-0.08346282677930023
iid,cv_eta_0.8,parity,-0.005604129861615725,0.015657970101553134,-0.007914933872963048,-0.013857063197429244,0.004230896339808285
iid,cv_eta_0.8,narma10,0.4477254709712467,0.05471945024243627,0.442732260595141,0.41819685703806564,0.4828629026579456
iid,cv_eta_0.95,linear_capacity,0.24873351412518843,0.1719428095979517,0.269227637563377,0.15009947474125268,0.34597419731746565
iid,cv_eta_0.95,nonlinear_capacity,0.035901084947663954,0.040344063150950654,0.02002797120451577,0.012759990187543981,0.06074857307079976
iid,cv_eta_0.95,seconds,0.49385391999821876,0.1366861494602878,0.5581098499969812,0.4020442494969393,0.5642848342510477
iid,cv_eta_0.95,effective_rank,3.9441180932396827,1.0935037479320708,4.498005475747437,3.272032209301471,4.568215748269971
iid,cv_eta_0.95,linear_1,0.03255472911574806,0.10738813876261162,0.04352812411029383,-0.03526623336500213,0.08664708972751942
iid,cv_eta_0.95,quadratic_1,-0.09482009499994834,0.05887822363417806,-0.0804255057736466,-0.13091317478720269,-0.06397217996280516
iid,cv_eta_0.95,linear_2,0.05517726711521868,0.08260425715542362,0.0754241137867292,0.005806944514762686,0.09768242946041061
iid,cv_eta_0.95,quadratic_2,-0.08458854802321907,0.042619410574257624,-0.0813329799509025,-0.11215146797566217,-0.06325774113205337
iid,cv_eta_0.95,linear_3,0.054383054283313984,0.07773125335138688,0.056359172157544046,0.006751875227156273,0.09577433843060569
iid,cv_eta_0.95,quadratic_3,-0.05550139580517993,0.06012916492026556,-0.036156699729616326,-0.09583091408868889,-0.029267879095423784
iid,cv_eta_0.95,linear_4,0.027067735792688553,0.0812144766435342,0.059065068828755785,-0.02519988634797775,0.06309502111179653
iid,cv_eta_0.95,quadratic_4,-0.01872938134332407,0.049721199907050186,-0.004647684382883099,-0.05154402300940804,0.005351919535538132
iid,cv_eta_0.95,cross_1_2,-0.11690117360368209,0.065585565718039,-0.11685143211521432,-0.15990384177682654,-0.08261437133013992
iid,cv_eta_0.95,cross_1_3,-0.04558253319701416,0.10184186428057755,-0.02146804050187945,-0.10627765725602759,0.009524276663860005
iid,cv_eta_0.95,cross_1_4,-0.24485680625176204,0.11100718337750055,-0.20274312905317649,-0.3116620794623948,-0.1817245104569544
iid,cv_eta_0.95,cross_2_3,-0.053850880999722774,0.05896290491820205,-0.048228144693538755,-0.08866573792548181,-0.020229281634554477
iid,cv_eta_0.95,cross_2_4,-0.08554049856531516,0.09253909853720943,-0.06505485986934922,-0.1430249541429184,-0.034365640310834264
iid,cv_eta_0.95,cross_3_4,-0.03866915300167904,0.0471301362333334,-0.03512328572498169,-0.06897120083084342,-0.012569539337863117
iid,cv_eta_0.95,parity,-0.1094472643229379,0.04344791167574317,-0.10918568194889955,-0.13521048004520989,-0.08548326751485051
iid,cv_eta_0.95,narma10,0.2364139972179168,0.07974688491530389,0.2673821606120712,0.1875046253754356,0.2818760421704566
iid,cv_no_feedforward,linear_capacity,1.185913524058818,0.21805847094078384,1.2390739777225752,1.0401105487341595,1.273814972885205
iid,cv_no_feedforward,nonlinear_capacity,0.1718573423226454,0.07230257437433162,0.18782953409230374,0.12844418212650338,0.21191326615607115
iid,cv_no_feedforward,seconds,0.5983721500000684,0.3314911377825013,0.549713749998773,0.44016861849995625,0.8186236782523337
iid,cv_no_feedforward,effective_rank,2.734917844088194,0.35083918562384875,2.7983878431906497,2.5299713071320524,2.9411455414897327
iid,cv_no_feedforward,linear_1,0.5172515194288064,0.13509669066968896,0.5585953325359055,0.4282250321513254,0.5676048214785204
iid,cv_no_feedforward,quadratic_1,-0.06660117984222631,0.029177346015627603,-0.06183949310556147,-0.08449658479729906,-0.05087641644705845
iid,cv_no_feedforward,linear_2,0.26764214487535104,0.016816483895450898,0.2740223623819118,0.2564222676652621,0.2754214682994528
iid,cv_no_feedforward,quadratic_2,-0.05251733969100009,0.03529482378106504,-0.05916640824576136,-0.0726775054663088,-0.031166250847492076
